💎内网源💎,#genre#
重庆卫视,rtsp://115.233.41.137/PLTV/88888913/224/3221229061/10000100000000060000000004835834_0.smil
河南卫视,rtsp://115.233.41.137/PLTV/88888913/224/3221229057/10000100000000060000000004835833_0.smil
江西卫视,rtsp://115.233.41.137/PLTV/88888913/224/3221229127/10000100000000060000000004835832_0.smil
东南卫视,rtsp://115.233.41.137/PLTV/88888913/224/3221229040/10000100000000060000000004835831_0.smil
安徽卫视,rtsp://115.233.41.137/PLTV/88888913/224/3221228120/10000100000000060000000002242150_0.smil
湖北卫视,rtsp://115.233.41.137/PLTV/88888913/224/3221228102/10000100000000060000000002242149_0.smil
黑龙江卫视,rtsp://115.233.41.137/PLTV/88888913/224/3221228068/10000100000000060000000002242148_0.smil
凤凰中文,rtsp://115.233.41.137/PLTV/88888913/224/3221229422/110077577.smil
凤凰资讯,rtsp://115.233.41.137/PLTV/88888913/224/3221229423/110077527.smil

4K频道,#genre#
CCTV-16 4K,rtsp://115.233.41.137/PLTV/88888913/224/3221229331/74036079.smil
北京卫视 4K,rtsp://115.233.41.137/PLTV/88888913/224/3221229453/128124469.smil
广东卫视 4K,rtsp://115.233.41.137/PLTV/88888913/224/3221229456/131699760.smil
深圳卫视 4K,rtsp://115.233.41.137/PLTV/88888913/224/3221229455/131699790.smil
4K 测试,rtsp://115.233.41.137/PLTV/88888913/224/3221229167/10000100000000060000000005029497_0.smil
珠峰直播,rtsp://115.233.41.137/PLTV/88888913/224/3221229068/10000100000000060000000005029495_0.smil

国际频道,#genre#
CGTN,rtsp://115.233.41.137/PLTV/88888913/224/3221228108/10000100000000060000000002707382_0.smil
CGTN 西班牙语,rtsp://115.233.41.137/PLTV/88888913/224/3221229180/54864297.smil
CGTN 法语,rtsp://115.233.41.137/PLTV/88888913/224/3221229271/54864338.smil
CGTN 阿拉伯语,rtsp://115.233.41.137/PLTV/88888913/224/3221229158/54864306.smil
